,category,headline,authors,link,short_description,date
1425,STYLE,Here's How J.Crew Replaced Its Bridal Line,Suzy Strutner,https://www.huffingtonpost.com/entry/jcrew-party-collection_us_58a3441be4b03df370daafc2,Sheer (and sparkly!) fun.,2017-02-14
1426,POLITICS,Mitch McConnell Says Donald Trump Would Respect Limits On Power,Arthur Delaney,https://www.huffingtonpost.com/entry/mitch-mconnell-donald-trump_us_574d8e9ae4b0dacf7ad55b0f,Contrary to what Trump himself has said.,2016-05-31
1427,POLITICS,No Talk Of Donald Trump For Justice Alito At Big Conservative Lawyers' Convention,Cristian Farias,https://www.huffingtonpost.com/entry/samuel-alito-donald-trump-federalist-society_us_582dd4d8e4b099512f8134ab,The Federalist Society helped the president-elect compile a list of Supreme Court candidates.,2016-11-17
1428,POLITICS,Martin O'Malley Breaks Into Song At Iowa Campaign Event,"Samantha-Jo Roth, The Huffington Post",https://www.huffingtonpost.com/entry/martin-omalley-song_us_55b4e279e4b0224d883283a2,The former Maryland governor serenaded supporters with a guitar performance.,2015-07-26
1429,POLITICS,New Trump Campaign Manager Denies Nominee Hurls 'Personal Insults',Daniel Marans,https://www.huffingtonpost.com/entry/kellyanne-conway-trump-personal-insults_us_57b9ad98e4b03d513688ea6f,Of course not.,2016-08-21
1430,POLITICS,SCOTUS Optimism,"Chris Weigant, ContributorPolitical writer and blogger at ChrisWeigant.com",https://www.huffingtonpost.com/entry/scotus-optimism_b_7539346.html,"For political wonks, June is not the month to celebrate grads, dads, and brides, but instead the biggest SCOTUS month of the year. This year, the biggest two (or the two with the biggest political overtones, at any rate) will likely be held back until the very end of the month.",2015-06-08
1431,POLITICS,Florida's Death Penalty Law Is Ruled Unconstitutional — Again,Cristian Farias,https://www.huffingtonpost.com/entry/florida-death-penalty_us_5801066de4b06e04759473b3,The state's supreme court ruled that a jury must be unanimous when imposing a death sentence.,2016-10-14
1432,STYLE,16 Style Tricks You Need To Make It Through Holiday Party Season In One Piece,Chanel Parks,https://www.huffingtonpost.com/entry/holiday-party-style-tips_n_6288630.html,,2014-12-09
1433,POLITICS,"With Opioid Crisis, A Surge In Hepatitis C","Stateline, ContributorStateline provides daily reporting and analysis on trends in s...",https://www.huffingtonpost.com/entry/with-opioid-crisis-a-surge-in-hepatitis-c_us_59a41ed5e4b0a62d0987b0c4,A Quiet Disease Compounding the problem is a lack of perceived urgency. Hepatitis C doesn’t kill children or adults in,2017-08-28
1434,STYLE,Tyra Banks Seriously Only EVER Wears One Sleeve,Michelle Persad,https://www.huffingtonpost.com/entry/tyra-banks-style_us_5660a387e4b08e945fee9787,We can't blame her.,2015-12-04
1435,POLITICS,Donald Trump And The Death Of Principled Conservatism,"Richard North Patterson, ColumnistColumnist",https://www.huffingtonpost.com/entry/donald-trump-and-the-death-of-principled-conservatism_us_5964b1dce4b09be68c005531,"So-called conservatism has been reduced to a yawp of protest without principle, catering to an oppressive foreign power which attacked our democracy.",2017-07-11
1436,STYLE,Since When Did 32-Degree Weather Become Synonymous With Open-Toe Shoes?,Michelle Persad,https://www.huffingtonpost.com/entry/street-style-new-york-2015_n_6687680.html,,2015-02-15
1437,POLITICS,Trump Super PAC Strategist Says There Is An 'Otherness' To Obama,Laura Barrón-López,https://www.huffingtonpost.com/entry/obama-otherness-alex-castellanos_us_57deb122e4b0071a6e07d2fe,But apparently it's still Clinton who is spreading birther claims.,
1438,POLITICS,Armed Pro-Gun Advocates Burned An Effigy Of Oregon Gov. Kate Brown,Jennifer Bendery,https://www.huffingtonpost.com/entry/oregon-governor-kate-brown-guns_us_57eedbcee4b024a52d2f16e4,"Her response? ""They're going to run out of mannequins"" before she caves on gun control.",2016-09-30
1439,POLITICS,Claire McCaskill: It's 'Ironic' Donald Trump Wants To Make Hillary Clinton's Marriage Part Of Campaign,Elise Foley,https://www.huffingtonpost.com/entry/claire-mccaskill-hillary-clinton-trump_us_57f1228be4b0c2407cde5da0,Remember all those radio interviews he gave about his sex life?,2016-10-02
1440,POLITICS,"Justice Dept. Mandates 'Implicit Bias' Training For Agents, Lawyers",,https://www.huffingtonpost.com/entry/implicit-bias-training-for-agents_us_57727284e4b0dbb1bbbbe15f,The training will bring Justice Department employees in line with many local police departments.,2016-06-28
1441,POLITICS,House Democratic Primary For California Seat Gets Pretty Ugly,Alex Lazar,https://www.huffingtonpost.com/entry/ro-khanna-mike-honda_n_5366745.html,,2014-05-21
1442,POLITICS,"What's The Proper Size Of Government? A Debate Inspired By Ted Cruz, Dildos",Jason Linkins,https://www.huffingtonpost.com/entry/ted-cruz-wanker-against-wanking_us_570fb4bae4b0ffa5937e5a8f,A Cruz White House could be very hands-on about keeping hands off.,2016-04-14
1443,POLITICS,Iowa Poised To Approve Controversial Gun-Rights Measures,,https://www.huffingtonpost.com/entry/iowa-gun-rights-bill_us_58e73514e4b00de141020355,"The bill, backed by the National Rifle Association, allows for children under 14 to use handguns.",2017-04-07
1444,POLITICS,"Trump's Week Of Errors, Exaggerations And Flat-Out Falsehoods",,https://www.huffingtonpost.comhttp://www.politico.com/magazine/story/2016/03/trump-fact-check-errors-exaggerations-falsehoods-213730#ixzz42sdKhqaV,"Donald Trump says he is a truthful man. “Maybe truthful to a fault,” he boasted last week at a North Carolina rally where",2016-03-14
1445,POLITICS,'Draft Biden' Super PAC Cancels Plans To Air First Ad,Daniel Marans,https://www.huffingtonpost.com/entry/biden-super-pac-cancels-ad_us_5616ecd9e4b0082030a1ddc1,"Joe Biden reportedly thought the ad  ""treads on sacred ground.""",2015-10-08
1446,POLITICS,Trump's About To Face His Biggest Test Of 2016,S.V. Date,https://www.huffingtonpost.com/entry/trump-debate-teleprompter_us_57e9508ce4b0e80b1ba33921,No script. No teleprompter. No coaching.,2016-09-26
1447,POLITICS,Obama's Ed Chief: $1.4 Trillion In Student Debt Isn't That Big Of A Deal,Shahien Nasiripour,https://www.huffingtonpost.com/entry/arne-duncan-student-debt_us_55b69595e4b0224d88335e1a,Duncan said low graduation rates were a bigger problem than student debt.,2015-07-28
1448,POLITICS,Feds Crack Down On Crowdfunding Projects That Don't Follow Through,,https://www.huffingtonpost.com/entry/feds-regulate-crowdfundin_n_7565952.html,,2015-06-11
1449,POLITICS,"Trump's ""Totalitarian"" Impulse: Twitter And The Effort To Silence James Comey","Austin Sarat, ContributorWilliam Nelson Cromwell Professor of Jurisprudence & Political...",https://www.huffingtonpost.com/entry/trumps-totalitarian-impulse-twitter-and-the-effort_us_59182d64e4b00ccaae9ea3e4,Trump’s acts of intimidation and innuendo are no joking matter.,
1450,STYLE,The 'New' Briefcase Is Back And Better Than Ever,Carly Ledbetter,https://www.huffingtonpost.com/entry/new-briefcases-2014_n_5538269.html,,2014-07-16
1451,POLITICS,How The Presidency Made Me A Better Father,"Barack Obama, Contributor",https://www.huffingtonpost.com/entry/how-the-presidency-made-me-a-better-father_b_7632178.html,"People often ask me whether being President has made it more difficult to spend time with Michelle and our girls. But the surprising truth is that being in the White House has made our family life more ""normal"" than it's ever been.",2015-06-21
1452,POLITICS,Friday Talking Points -- Obama Steals GOP's Honeymoon,"Chris Weigant, ContributorPolitical writer and blogger at ChrisWeigant.com",https://www.huffingtonpost.com/entry/friday-talking-points_b_6535970.html,"Most of our article today is going to deal with Obama and his speech, ending with the snappiest portions as this week's talking points. But before we get to that, let's take a quick look at what the Republicans have been up to, as well as some other minor political news of the week.",2015-01-24
1453,STYLE,Jennifer Aniston Found The Pants Of Your Comfort-Loving Dreams,Jamie Feldman,https://www.huffingtonpost.com/entry/jennifer-aniston-pants_us_596f5338e4b0000eb1975b75,Here's how to find similar ones for yourself.,2017-07-19
1454,POLITICS,"Senate Gets Around To Filling Court Vacancy After 1,069 Days",Jennifer Bendery,https://www.huffingtonpost.com/entry/judge-dale-drozd-confirmation_us_5612af98e4b0dd85030cba7e,One down. Dozens more to go.,2015-10-05
1455,POLITICS,Susan Sarandon Calls Oklahoma Governor A 'Horrible Person' For Not Stopping Execution,Kim Bellware,https://www.huffingtonpost.com/entry/susan-sarandon-oklahoma-governor_us_55c3785ee4b0f1cbf1e3e228,"The ""Dead Man Walking"" actress is fighting to spare the life of death row inmate Richard Glossip.",2015-08-06
1456,POLITICS,Detecting What Unravels Our Society – Bottom-Up And Top-Down,"Ralph Nader, ContributorConsumer advocate, lawyer and author",https://www.huffingtonpost.com/entry/detecting-what-unravels-our-society-bottom-up-and_us_5970ef9ce4b04dcf308d2adf,"The unraveling of a society’s institutions, stability and reasonable order does not sound alarms to forewarn the citizenry",2017-07-20
1457,POLITICS,Jeb Bush Says Rival Marco Rubio Has 'Given Up',,https://www.huffingtonpost.com/entry/jeb-bush-marco-rubio-senate_us_56366247e4b00aa54a4e81d9,"""And I think that's the wrong thing to do.""",2015-11-01
1458,POLITICS,"Donald Trump Didn't Tweet During James Comey's Hearing, But His Son Sure Did",Paige Lavender and Hayley Miller,https://www.huffingtonpost.com/entry/donald-trump-jr-james-comey_us_593965a9e4b0061054804ba6,"Donald Trump Jr. called Comey's comments ""BS"" in one of the dozens of tweets he sent during the hearing.",2017-06-08
1459,POLITICS,Why Wildfire Programs Should Shift From Suppression To Prevention,"Daily Yonder, ContributorKeep It Rural",https://www.huffingtonpost.com/entry/why-wildfire-programs-should-shift-from-suppression_us_59bbdecbe4b02c642e4a15ab,"As wildfire costs have risen in the past decade, the wildfire budget eats up a growing share.",2017-09-15
1460,POLITICS,Romney Loyalists’ Divisions Over Trump Spill Out Into The Open At Utah Summit,,https://www.huffingtonpost.comhttps://www.washingtonpost.com/politics/romney-loyalists-divisions-over-trump-spill-out-into-the-open-at-utah-summit/2016/06/11/700ab4a4-3000-11e6-9b37-42985f6a265c_story.html,"Mitt Romney warned that a Donald Trump presidency could normalize racism, misogyny and bigotry in the national conscience",2016-06-11
1461,STYLE,John Legend On Diversity In Fashion: 'I Think They Could Do More',Chanel Parks,https://www.huffingtonpost.com/entry/john-legend-is-great_us_55f1f120e4b093be51be4038,We're not all just ordinary people.,2015-09-11
1462,STYLE,Pregnant Chrissy Teigen Is A Real-Life Mermaid In This Form-Fitting Gown,Jamie Feldman,https://www.huffingtonpost.com/entry/pregnant-chrissy-teigen-dress_us_56c1d45be4b0b40245c725b3,"♬ ""Under the sea, under the sea."" ♬",2016-02-15
1463,POLITICS,Why Democrats Could Consider Registering Republican To Stop Trump,"Andrew Abramson, ContributorOpinion columnist",https://www.huffingtonpost.com/entry/why-democrats-could-consider-registering-republican_us_5999c872e4b02eb2fda320f8,It’s a lot to digest but at the end of the day Democrats can realistically control Trump’s future.,2017-08-20
1464,POLITICS,EPA Chief: Paris Climate Accord 'Just A Bad Deal',Nick Visser,https://www.huffingtonpost.com/entry/scott-pruitt-paris-climate-deal_us_58d8a552e4b03692bea70846,Scott Pruitt said the White House will roll back Obama's signature Clean Power Plan this week.,2017-03-27
1465,POLITICS,House Votes To Overturn D.C. Reproductive Health Discrimination Law,Samantha Lachman,https://www.huffingtonpost.com/entry/dc-reproductive-health-_n_7185902.html,,2015-05-01
1466,POLITICS,,Samantha-Jo Roth,https://www.huffingtonpost.com/entry/bernie-sanders-hillary-clinton-midwest_us_56d08e1ce4b03260bf76a0a1,The stakes are high for the Vermont senator to perform well in early March caucus states.,2016-02-26
1467,POLITICS,Barack Obama Warns That A Donald Trump Presidency Would Be 'Damaging For The World',Carla Herreria,https://www.huffingtonpost.com/entry/obama-bill-maher-real-time-interview_us_581d1591e4b0e80b02ca30d1,The president told Bill Maher the choice this election should be clear: Hillary Clinton for president.,2016-11-05
1468,POLITICS,HUFFPOST HILL - Sanders Campaign Forming Into Flying V In Last Ditch Attempt To Win Nomination,Eliot Nelson,https://www.huffingtonpost.com/entry/huffpost-hill-sanders-campaign-forming-into-flying-v-in-last-ditch-attempt-to-win-nomination_us_577c262de4b041646411079a,"FBI Director James Comey advised the DOJ against prosecuting Hillary Clinton, effectively thwacking the former secretary",2016-07-05
1469,POLITICS,Lindsey Graham Doesn't Think Being Single Will Hurt His White House Chances,Sam Levine,https://www.huffingtonpost.com/entry/lindsey-graham-single_n_7529634.html,,2015-06-07
1470,POLITICS,Labor Unions Are Stepping Up To Fight Deportations,Dave Jamieson,https://www.huffingtonpost.com/entry/organized-labor-steps-up-to-fight-deportations_us_59b6df97e4b03e6197afea7c,Organized labor is finding creative ways to protect immigrant members and families vulnerable in the Trump era.,2017-09-12
1471,POLITICS,Bernie Sanders Lays Out His Requirements For Endorsing Hillary Clinton,Marina Fang,https://www.huffingtonpost.com/entry/bernie-sanders-hillary-clinton-endorsement_us_56f45bf0e4b014d3fe22b4a7,"He stressed he'll fight for the Democratic nomination ""until the last vote is cast.""",2016-03-24
1472,POLITICS,"After Ethics Panel's Shutdown, Loopholes Live On In Albany",,https://www.huffingtonpost.com/entry/moreland-commission-ethics-albany_n_6286306.html,,2014-12-08
1473,POLITICS,Former NYPD Commissioner: De Blasio Ran 'Anti-Police Campaign',Mollie Reilly,https://www.huffingtonpost.com/entry/ray-kelly-bill-de-blasio_n_6362762.html,,2014-12-21
1474,POLITICS,Support For Same-Sex Marriage Reaches A New High,Grace Sparks,https://www.huffingtonpost.com/entry/gay-marriage-high_us_5919d6f9e4b0809be156c80a,Almost two-thirds of Americans think it should be legal.,2017-05-15
1475,POLITICS,GOP Candidate Don Blankenship Rips Mitch McConnell's 'Chinaperson' Family,Nina Golgowski,https://www.huffingtonpost.com/entry/don-blankenship-slams-wealthy-chinaperson_us_5ae08463e4b07560f397c869,"The coal baron, whose fiancée is reportedly Chinese, suggested McConnell has conflicts of interest.",2018-04-25
1476,POLITICS,Elizabeth Warren Rallies Supporters Against Trump's Consumer Watchdog Appointment,Daniel Marans,https://www.huffingtonpost.com/entry/elizabeth-warren-trump-cfpb_us_5a1da9ede4b079c1128a4318,Democrats want to turn the CFPB leadership battle into a referendum on the president’s professed populist agenda.,2017-11-28
1477,POLITICS,Phyllis Schlafly And The Kingmakers,"David Haven Blake, ContributorAuthor, ""Liking Ike: Eisenhower, Advertising, and the Rise of ...",https://www.huffingtonpost.com/entry/phyllis-schlafly-and-the-kingmakers_us_57d31f9be4b0f831f7071cae,"Phyllis Schlafly, whom Donald Trump eulogized yesterday after her death at the age of 92, will go down as one of the most",2016-09-11
1478,POLITICS,Donald Trump Distorted Lots Of Facts When Speaking About The Orlando Shooting,"Eugene Kiely, Robert Farley & D’Angelo Gore, FactCheck.org",https://www.huffingtonpost.com/entry/donald-trump-orlando-fact-check_us_57607e9fe4b09c926cfd7430,"Buckle up, y'all.",2016-06-14
1479,POLITICS,Almost Every Part Of This Sentence From Donald Trump Is False,Igor Bobic,https://www.huffingtonpost.com/entry/donald-trump-ron-estes-kansas_us_58ee201ae4b0c89f91230328,Fake news.,2017-04-12
1480,POLITICS,House GOP Crackdown Continues,,https://www.huffingtonpost.com/entry/jason-chaffetz-strips-mea_n_7629404.html,,2015-06-21
1481,POLITICS,The Fighting Tigers of Iraq,"Nan Levinson, ContributorAuthor of 'War Is Not a Game: The New Antiwar Soldiers and the...",https://www.huffingtonpost.com/entry/fighting-the-tigers-of-ir_b_5813900.html,"Probably no Americans are more abidingly tired of war than those who fought in Iraq and Afghanistan. So when Iraq Veterans Against the War gathered in Colorado for its annual convention and to celebrate its 10th anniversary, the question shimmering in the clear mountain air was, what were they celebrating?",2014-09-13
1482,STYLE,Take A Look At Warby Parker's Newest Line Of Sunglasses,Michelle Persad,https://www.huffingtonpost.com/entry/warby-parker-new-sunglasses_us_562540d6e4b02f6a900d4061,😎,2015-10-20
1483,POLITICS,Proof That Republicans And Democrats Can Actually Be Friends,Emily Peck,https://www.huffingtonpost.com/entry/republicans-democrats-friends_us_58823693e4b070d8cad207e2,Two men who don't agree on politics are spending the day at the inauguration. And they're fine. Really.,2017-01-20
1484,POLITICS,Friday Talking Points -- Spinning Straw (Polls) Into Gold,"Chris Weigant, ContributorPolitical writer and blogger at ChrisWeigant.com",https://www.huffingtonpost.com/entry/friday-talking-points-spinning-straw-polls-into-gold_b_7425896.html,"It's one of those rare weeks in Washington where Congress deigns to actually do their job and vote on some stuff... before lapsing back into their default status, which is of course: ""taking weeks and weeks off, on vacation.""",2015-05-23
1485,POLITICS,Big Soda Spends Millions On 'Unethical' San Francisco Area Ads Fighting Drink Taxes,Michael McLaughlin,https://www.huffingtonpost.com/entry/big-soda-ads-taxes_us_57bcd98be4b03d51368b953b,The beverage industry is vastly outspending those who support taxes on sugary drinks.,2016-08-24
1486,POLITICS,3 Arguments Republicans Are Using To Rebut Predictions About What Obamacare Repeal Would Mean,Jonathan Cohn,https://www.huffingtonpost.com/entry/republicans-budget-obamacare-repeal_us_58c57942e4b0ed71826d3c8d,They are gearing up for this week's CBO projection.,2017-03-12
1487,POLITICS,Sephora Is Selling An Eyeshadow Named 'Druggie'. Seriously.,Ryan Grim and Landess Kearns,https://www.huffingtonpost.com/entry/sephora-urban-decay-druggie-eyeshadow_us_58799967e4b0e58057fef7d0,"In the midst of the nation's drug epidemic, we have to wonder what they were thinking.",2017-01-14
1488,STYLE,Zac Posen's Sweet Gesture Makes A Teen's Dreams Come True,Jamie Feldman,https://www.huffingtonpost.com/entry/zac-posen-teen-radio-city-talent-show_n_7562504.html,,2015-06-12
1489,STYLE,Deborah Lindquist: Celebrate Earth Month in Style,"Red Room, Contributorcontributions and great stories from great writers",https://www.huffingtonpost.com/entry/deborah-lindquist-celebra_b_5179194.html,,2014-04-19
1490,POLITICS,Schumer's Delicate Dance with Wall Street,"Robert Kuttner, ContributorCo-founder and co-editor, 'The American Prospect'",https://www.huffingtonpost.com/entry/sly-senator-schumer_b_6370168.html,"Last week, I wrote a piece in this space lamenting the fact that so many Democrats had voted for a budget package that gutted a key provision of the Dodd-Frank Act. The so called swaps push-out provision, now repealed, required banks to separate their speculative business in derivatives from depository banking covered by government insurance and further protected by the Federal Reserve. The broader budget deal, technically a continuing resolution to keep the government funded through next September, also cut a lot of needed public spending and added several odious riders, including one that raises the ceiling on individual campaign contributions to party committees about tenfold. Had Democrats resolutely opposed the deal, I argued, it would have revealed Republicans as friends of Wall Street and enemies of Main Street -- a useful party differentiation between now and 2016.",2014-12-23
1491,POLITICS,Ed Perlmutter Midterm Election Results: Democrat Holds Congressional Seat,Ashley Alman,https://www.huffingtonpost.com/entry/ed-perlmutter-midterm-election-results_n_5832014.html,,2014-11-05
1492,POLITICS,"Battleground State Voters Want Congress To Move On Criminal Justice Reform, Poll Shows",Laura Barrón-López,https://www.huffingtonpost.com/entry/justice-reform-poll_us_56c505f3e4b08ffac12794bf,Majorities in six key election states think the U.S. jails too many nonviolent offenders.,2016-02-18
1493,POLITICS,The 50th Anniversary of U.S. Marines Landing in Vietnam,"Joseph A. Palermo, ContributorProfessor, historian, author",https://www.huffingtonpost.com/entry/the-50th-anniversary-of-u_b_6825386.html,"These days, it has become far more difficult to teach the history of America's war in Vietnam because one of the chief lessons of that war we thought we had learned (""No More Vietnams"") has been soundly disproven in recent years.",
1494,POLITICS,"As Cashless Toll Roads Proliferate, So Do Rental Car Fees","Stateline, ContributorStateline provides daily reporting and analysis on trends in s...",https://www.huffingtonpost.com/entry/as-cashless-toll-roads-proliferate-so-do-rental-car_us_598c6ce1e4b08a4c247f28b2,Rental car drivers will likely have to navigate more electronic tolls as states convert traditional cash tolls to electronic,2017-08-10
1495,STYLE,Indulgent Gifts for Your Green Beauty Queen,"Janna Mandell, ContributorFreelance senior beauty writer for San Francisco Chronicle and...",https://www.huffingtonpost.com/entry/indulgent-gifts-for-your_b_8801202.html,She eats organic. She composts. She buys her beauty products at Whole Foods and Farmers Markets (and of course the occasional lavish spa).  Impress the hell out of her this holiday season by purchasing one of these sumptuous non-toxic beauty gifts:,2015-12-13
1496,STYLE,8 Things Your Friends Really Need To Chill About,Jessica Leader,https://www.huffingtonpost.com/entry/things-friends-need-to-chill_n_5512960.html,,2014-10-05
1497,POLITICS,Female Trump Supporters Don't Really Care About His Sexism,Laura Bassett and Jonathan Cohn,https://www.huffingtonpost.com/entry/female-trump-supporter-trump_us_57f3fc10e4b04c71d6f06b7a,"“I don’t know that these comments preclude him running the country.""",2016-10-04
1498,STYLE,Woman Proudly Shows Off Her Eczema To Prove A Point About Instagram,Jamie Feldman,https://www.huffingtonpost.com/entry/eczema-no-makeup-selfie_us_58ab1c07e4b07602ad56c8ef,Instagram doesn't always tell the whole story.,2017-02-20
1499,STYLE,The New Ireland,"Terence Clarke, ContributorDirector of Publishing, Astor & Lenox",https://www.huffingtonpost.com/entry/the-new-ireland_b_7613560.html,"I had a conversation last year in Finnegan's of Dalkey--a phenomenal Dublin pub where novelist Maeve Binchy used to drink, and Bono now does drink--with an Irish attorney acquaintance.",2015-06-18
1500,POLITICS,U.S. House Passes Bill Requiring Warrants To Search Old Emails,"Dustin Volz, Reuters",https://www.huffingtonpost.com/entry/us-house-passes-bill-requiring-warrants-to-search-old-emails_us_5899db2ee4b0c1284f28190a,"The legislation was expected to encounter resistance in the Senate, where it failed to advance last year amid opposition by a handful of Republican lawmakers after the House passed it unanimously.",2017-02-07
1501,POLITICS,Trump Dismisses Possible Facebook Plot Because 'I'm One Of Their Great Stars',Peter Andrew Hart,https://www.huffingtonpost.com/entry/trump-facebook-zuckerberg_us_5712b1bde4b06f35cb6fce7d,He was responding to a report that Facebook employees considered asking their CEO whether they should try to prevent a Trump presidency.,2016-04-16
1502,POLITICS,Dysfunctional Party Bureaucracies Lead Congress Astray,"Stephen Tryon, ContributorAuthor of Accountability Citizenship and Former Senior Vice Pr...",https://www.huffingtonpost.com/entry/dysfunctional-party-bureaucracies_b_5318186.html,Americans have good reason to be disgusted with politics in Washington.  Both major political party organizations shamelessly pursue policies designed to generate the most money and power for the party in the short term.,2014-05-19
1503,POLITICS,Trump Puts America At Risk And Disrespects Those Who Serve,"Barbara Boxer, ContributorFormer U.S. Senator; Founder, PAC for a Change",https://www.huffingtonpost.com/entry/trump-puts-america-at-risk-and-disrespects-those-who-serve_us_59ea5ecfe4b0a484d0633dd4,Can You Believe? Can you believe our fellow citizens in Puerto Rico having to get their drinking water from toxic sites? Can,2017-10-20
1504,STYLE,Stockholm's Awesome Street Style Will Actually Make You Excited For Summer's End,Jamie Feldman,https://www.huffingtonpost.com/entry/fall-style-stockholm-street-style_us_57c57a61e4b0cdfc5ac90d69,"Seriously, bring on fall clothes.",2016-08-30
1505,STYLE,Here's the First Look at Cara Delevingne in the Amanda Knox Biopic!,"Modelinia, ContributorYour one stop for everything models.",https://www.huffingtonpost.com/entry/heres-the-first-look-at-c_b_6811692.html,"It's been a little over a year since we first learned that Cara Delevingne, fashion's favorite multi-hyphenate, had been cast in director Michael Winterbottom's highly-anticipated Amanda Knox biopic, The Face of an Angel.",2015-03-06
1506,POLITICS,"And Now, John Oliver Yelling At The People Of Stock Photos",Jason Linkins and Adriana Usero,https://www.huffingtonpost.com/entry/john-oliver-stock-photos_us_5654a34ae4b0258edb33184f,"A celebration of ""Last Week Tonight's"" best recurring joke.",2015-11-30
1507,STYLE,Prince George And Princess Charlotte Reach New Levels Of Cute In Berlin,Jamie Feldman,https://www.huffingtonpost.com/entry/prince-george-princess-charlotte-berlin_us_596f543de4b0a03aba865eb8,Activities include smelling flowers and peeking through plane windows. 😍,2017-07-19
1508,POLITICS,Obama To Announce Training Initiative For High-Tech Jobs,,https://www.huffingtonpost.com/entry/obama-training-initiative-jobs_n_6828130.html,,2015-03-09
1509,POLITICS,11-Year-Old Girl Dies After Weekend Shooting In Chicago,,https://www.huffingtonpost.com/entry/takiya-holmes-died-chicago_us_58a385ade4b03df370db6747,Takiya Holmes was one of two young girls shot in the head in separate incidents on Saturday.,2017-02-14
1510,POLITICS,How Politics Hijacked The Fight Against Global Warming,,https://www.huffingtonpost.com/entry/politics-global-warming_n_5218956.html,,2014-04-26
1511,POLITICS,So Many Reasons To March This Saturday,"Michael Brune, ContributorExecutive Director, Sierra Club",https://www.huffingtonpost.com/entry/so-many-reasons-to-march-this-saturday_us_58ffc676e4b06feec8ac917f,The 100th day of Donald Trump’s presidency falls this Saturday (an occasion we’ll be marking with a giant march of resistance,2017-04-25
1512,POLITICS,Former White House Official Granted Waiver From Trump's Lobbying Ban,Igor Bobic,https://www.huffingtonpost.com/entry/trump-lobbying-ban-waiver_us_58ef8d63e4b0da2ff85eb903,Drain the swamp?,2017-04-13
1513,POLITICS,I Wrote Speeches for Vice President Biden. Here's What It Felt Like.,"Matt Bieber, ContributorAuthor of Life in the Loop: Essays on OCD.",https://www.huffingtonpost.com/entry/speeches-for-vp-biden_b_5244644.html,"I felt an odd juxtaposition between the very impersonal way we talk about the White House as an institution ('Today, the White House demanded...') and the very recognizable humanity of the people who work there each day.",2014-05-01
1514,POLITICS,The Greatest Generation and the Stunted Generation,"Robert Kuttner, ContributorCo-founder and co-editor, 'The American Prospect'",https://www.huffingtonpost.com/entry/the-greatest-generation_b_5470293.html,"Our society is at least four times as rich as it was when my dad came home from the war. Far too much of that national wealth is going to the wrong people -- bankers and speculators who not only don't earn their wealth but who caused a great recession for everyone else. My dad didn't go to college; he was the first member of his family to own a house thanks to the GI bill (no housing scandals of that era -- these were direct government loans), and he was part of a rising, hard-working middle class. My kids and grandkids didn't suffer the Great Depression, nor did they have to slog across Normandy or serve time in a German POW camp. But they face a stunted future. My father's generation did not make their sacrifices only so that their great-grandchildren would be the stunted generation.",2014-06-08
1515,POLITICS,Chuck Schumer: Neil Gorsuch's 'Behind Closed Doors' Criticism Of Trump Is Self-Serving,Hayley Miller,https://www.huffingtonpost.com/entry/chuck-schumer-neil-gorsuch-criticism-trump_us_589e1951e4b094a129eafb68,"The Supreme Court nominee should publicly condemn Trump's comments if he's ""a truly independent judge,"" the Senate minority leader writes.",2017-02-10
1516,STYLE,Why Aren’t There More Pregnant Models On The Runway?,"Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",https://www.huffingtonpost.com/entry/why-arent-there-more-pregnant-models-on-the-runway_us_59bacbaee4b02c642e4a14c3,How’s that for body diversity?,2017-09-14
1517,POLITICS,Roy Moore Files Complaint Claiming He Was Targeted By Political Conspiracy,Antonia Blumberg,https://www.huffingtonpost.com/entry/roy-moore-files-lawsuit_us_5ae778efe4b04aa23f2614b6,He says his accusers planned to undermine his campaign.,2018-04-30
1518,POLITICS,HUFFPOLLSTER: Even Republicans Aren't Happy With The New GOP-Led Congress,"Mark Blumenthal, Ariel Edwards-Levy, and Janie Velencia",https://www.huffingtonpost.com/entry/republicans-dissatisfied-_n_7420432.html,,2015-05-22
1519,POLITICS,Hillary Clinton Hints She'd Support Flexible Benefits For Gig Economy Workers,Alexander Howard,https://www.huffingtonpost.com/entry/hillary-clinton-gig-economy_us_55ad4a84e4b065dfe89f010c,"In a Facebook Q&A, the former secretary of state took a question about making benefits more flexible.",2015-07-20
1520,POLITICS,New York To Raise Minimum Wage Towards $15 An Hour,,https://www.huffingtonpost.com/entry/new-york-minimum-wage_us_56fde776e4b0daf53aef5731,The deal was reached the same day California lawmakers approved raising the state's minimum wage to $15 by 2022.,2016-04-01
1521,STYLE,Mango Is The Lesser-Known Version Of All Your Favorite Stores,Michelle Persad,https://www.huffingtonpost.com/entry/mango-store_us_5640fa3ae4b0411d3071fffa,For when you're sick of seeing yourself coming and going.,2015-11-10
1522,STYLE,BeautyDNA: The Pandora Of Primping,,https://www.huffingtonpost.com/entry/pandora-beauty_n_5600778.html,,2014-07-19
1523,POLITICS,California Judge Throws Out Ballot Initiative Calling For Execution Of Gay People,Mollie Reilly,https://www.huffingtonpost.com/entry/sodomite-suppression-act_n_7649636.html,,2015-06-23
